epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,175.57,1.30136,2.04895,1.51353,0.63001,0.55663,0.5529,0.34393,1.40303,1.48832,1.51691,0.0033223,0.0033223,0.0033223
2,356.928,1.2394,1.30434,1.42803,0.68141,0.51924,0.57533,0.3374,1.48535,1.28497,1.66132,0.00663916,0.00663916,0.00663916
3,536.09,1.2954,1.29864,1.45799,0.66905,0.55345,0.57695,0.35933,1.40399,1.59334,1.62224,0.00993952,0.00993952,0.00993952
4,714.9,1.33262,1.31706,1.47529,0.70626,0.54789,0.58106,0.3503,1.42574,1.39348,1.62697,0.00992575,0.00992575,0.00992575
5,893.806,1.2869,1.21493,1.44021,0.82373,0.56077,0.64449,0.38767,1.42394,1.28836,1.54035,0.009901,0.009901,0.009901
6,1072.63,1.24432,1.15244,1.40564,0.82418,0.58405,0.66179,0.41749,1.2629,1.1314,1.44526,0.00987625,0.00987625,0.00987625
7,1251.58,1.20663,1.06761,1.38438,0.73496,0.60483,0.65956,0.411,1.30714,1.03322,1.4476,0.0098515,0.0098515,0.0098515
8,1430.32,1.17715,1.03247,1.35709,0.78482,0.61564,0.68241,0.43026,1.27085,1.00204,1.4429,0.00982675,0.00982675,0.00982675
9,1608.97,1.15027,0.99886,1.33469,0.86844,0.62359,0.70717,0.45181,1.20142,0.92183,1.36897,0.009802,0.009802,0.009802
10,1787.93,1.11745,0.9474,1.30936,0.81,0.64505,0.72082,0.45355,1.19775,0.88878,1.38863,0.00977725,0.00977725,0.00977725
11,1966.53,1.10176,0.9221,1.30799,0.80514,0.66527,0.71437,0.45322,1.19877,0.91865,1.36196,0.0097525,0.0097525,0.0097525
12,2145.04,1.08175,0.90149,1.29326,0.88902,0.65396,0.73413,0.49329,1.16112,0.83298,1.32386,0.00972775,0.00972775,0.00972775
13,2324.02,1.07728,0.87531,1.28477,0.8455,0.64049,0.72372,0.47596,1.15771,0.85985,1.33634,0.009703,0.009703,0.009703
14,2502.87,1.03565,0.84259,1.25275,0.86716,0.61481,0.71828,0.47149,1.15032,0.8729,1.33931,0.00967825,0.00967825,0.00967825
15,2681.96,1.02891,0.82981,1.25326,0.75909,0.69838,0.72439,0.47492,1.16812,0.84152,1.33754,0.0096535,0.0096535,0.0096535
16,2860.58,1.02479,0.81278,1.24492,0.88378,0.67522,0.73834,0.49001,1.15067,0.81009,1.31755,0.00962875,0.00962875,0.00962875
17,3039.31,1.00669,0.79325,1.23028,0.81893,0.67527,0.74803,0.48758,1.12612,0.79349,1.33103,0.009604,0.009604,0.009604
