epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.874,1.39041,3.20715,1.55206,0.37403,0.33083,0.33184,0.19432,1.51314,2.13887,1.57352,0.0033223,0.0033223,0.0033223
2,211.66,1.36292,2.19266,1.49892,0.59674,0.42867,0.45815,0.27465,1.45736,1.84805,1.58135,0.00663916,0.00663916,0.00663916
3,317.653,1.3674,1.88557,1.4937,0.5968,0.44064,0.45027,0.24702,1.65117,1.74711,1.77154,0.00993952,0.00993952,0.00993952
4,423.304,1.40957,1.7112,1.52288,0.64386,0.49048,0.50128,0.28947,1.51609,1.53231,1.66534,0.00992575,0.00992575,0.00992575
5,529.312,1.36471,1.51135,1.47739,0.76575,0.50121,0.57192,0.32437,1.49757,1.45249,1.60595,0.009901,0.009901,0.009901
6,636.017,1.33,1.40148,1.45757,0.68481,0.528,0.5604,0.33133,1.48398,1.38946,1.61082,0.00987625,0.00987625,0.00987625
7,742.786,1.30133,1.29726,1.43467,0.72155,0.54985,0.58009,0.3407,1.40743,1.29456,1.54916,0.0098515,0.0098515,0.0098515
8,849.737,1.27586,1.24282,1.4109,0.79155,0.55935,0.6198,0.37184,1.39851,1.21544,1.55578,0.00982675,0.00982675,0.00982675
9,956.977,1.25354,1.21252,1.39882,0.79807,0.55258,0.59633,0.36995,1.3701,1.14299,1.51981,0.009802,0.009802,0.009802
10,1064.13,1.22476,1.15456,1.36738,0.76002,0.54481,0.60754,0.37285,1.39823,1.1131,1.53853,0.00977725,0.00977725,0.00977725
11,1171.58,1.20733,1.12334,1.36883,0.76985,0.6106,0.64128,0.40756,1.31345,1.05362,1.45707,0.0097525,0.0097525,0.0097525
12,1279.44,1.195,1.10236,1.36014,0.74261,0.61649,0.64203,0.40737,1.30275,1.06683,1.42959,0.00972775,0.00972775,0.00972775
13,1387.34,1.18363,1.069,1.34829,0.80383,0.59816,0.65495,0.4011,1.32969,1.03447,1.48027,0.009703,0.009703,0.009703
14,1495.28,1.15723,1.0353,1.32628,0.85311,0.57711,0.64199,0.40066,1.30047,1.05191,1.46364,0.00967825,0.00967825,0.00967825
15,1603.54,1.14845,1.02115,1.3235,0.80507,0.59764,0.64863,0.41811,1.2672,1.03813,1.4021,0.0096535,0.0096535,0.0096535
16,1710.92,1.14766,1.01504,1.31969,0.88979,0.57093,0.65315,0.41893,1.26577,0.97369,1.42952,0.00962875,0.00962875,0.00962875
17,1818.69,1.13174,0.99368,1.30891,0.81638,0.59999,0.66921,0.41512,1.28194,0.99073,1.42797,0.009604,0.009604,0.009604
18,1926.74,1.1288,0.98027,1.30421,0.84753,0.60216,0.66477,0.42957,1.25804,0.95904,1.39563,0.00957925,0.00957925,0.00957925
19,2034.88,1.10971,0.94038,1.28485,0.84142,0.59634,0.67057,0.43789,1.22287,0.97841,1.37287,0.0095545,0.0095545,0.0095545
20,2142.88,1.10799,0.94622,1.29653,0.85435,0.59624,0.66223,0.43553,1.20323,0.93329,1.35268,0.00952975,0.00952975,0.00952975
21,2250.51,1.10598,0.93629,1.29361,0.75448,0.59782,0.64301,0.41559,1.24514,1.00923,1.39015,0.009505,0.009505,0.009505
22,2358.46,1.0846,0.92033,1.27719,0.85462,0.59746,0.67524,0.44284,1.21407,0.93031,1.35838,0.00948025,0.00948025,0.00948025
23,2466.47,1.08496,0.90271,1.27487,0.84781,0.6143,0.68129,0.45362,1.20694,0.90521,1.37336,0.0094555,0.0094555,0.0094555
24,2574.63,1.07988,0.89889,1.26944,0.83369,0.57899,0.66033,0.42772,1.21078,0.95742,1.35126,0.00943075,0.00943075,0.00943075
25,2682.27,1.06856,0.8778,1.26371,0.8421,0.61459,0.68141,0.44441,1.21564,0.90538,1.37411,0.009406,0.009406,0.009406
26,2790.36,1.06565,0.88843,1.26241,0.85365,0.59763,0.66838,0.43804,1.19714,0.8898,1.35695,0.00938125,0.00938125,0.00938125
27,2898.1,1.05521,0.87116,1.25338,0.85757,0.61004,0.68654,0.45013,1.20429,0.92173,1.37184,0.0093565,0.0093565,0.0093565
28,3006.28,1.05794,0.8666,1.25146,0.86157,0.6148,0.67904,0.44288,1.21701,0.91676,1.38329,0.00933175,0.00933175,0.00933175
